id,name,artist_id,artists,artist_genre,album_type,album_id,album_name,album_release_date,duration_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
4XqFl2hYwxBSVWhCG2oPUA,have i told you lately that i love you - acoustic,4LaimQU44rsz2kMWQmY6Bi,john adams,"acoustic cover,viral pop",single,5XfmzpkjamN5zdHRborowy,have i told you lately that i love you (acoustic),2018,201885,48,0.58,0.188,9,-9.34,1,0.0511,0.935,0.0,0.264,0.431,121.648,4.0
4Y4Gd3ty8uut6Qw43c7yJc,(sittin' on) the dock of the bay,60df5JBRRPcnSpsIMxxwQm,otis redding,"classic soul,memphis soul,soul,soul blues,southern soul",album,0kSkzG0sfuG4lRuFF5jWVr,the dock of the bay,1968,166827,60,0.484,0.312,2,-13.522,1,0.0535,0.724,1.65E-6,0.0601,0.598,205.981,4.0
4Y9TDwvffDYIEx0zPaHiWj,to all of you,4kDmwaDsfY9hcvz7K0otLJ,syd matters,"folktronica,french indie folk",album,3jdFlCnsMe1e5gwmKn7QU4,someday we will foresee obstacles (edition 2008),2005,283320,53,0.309,0.528,1,-11.748,0,0.0345,0.29,0.104,0.102,0.114,104.537,4.0
4Z92RMiyJpUrApZi3LtpJ6,blackbird - remastered 2009,3WrFJ7ztbogyGnTHbHJFl2,the beatles,"beatlesque,british invasion,classic rock,merseybeat,psychedelic rock,rock",album,03Qh833fEdVT30Pfs93ea6,the beatles (remastered),1968,138387,73,0.686,0.127,7,-14.361,1,0.0342,0.754,1.41E-5,0.0573,0.372,93.699,4.0
4Zaum0s0rrwXSstJV01Ojs,when spring comes,7iWDCqhLWP7tGRvYpOzj4J,the cabin tapes,calming instrumental,single,2KghE7s2K6NW1Y6p8b8tWQ,when spring comes,2023,131691,33,0.871,0.196,6,-16.311,1,0.102,0.98,0.901,0.105,0.527,136.185,4.0
4Zls4nFdhCUxQ9YQOMjf6d,secrets of the stars,7fxtWEwKKrFaykKItspdYg,the milk carton kids,"deep new americana,indie folk,new americana,stomp and flutter,stomp and holler",album,3fuTxCkeRpPjV4TeMpaplh,monterey,2015,164479,36,0.591,0.128,11,-15.184,0,0.0391,0.913,0.0,0.108,0.377,95.252,4.0
4a4uscoHCD2X9SeZQCSYFD,day break,7FaPxwleV4FLc7PRiyUYmS,lance takamiya,slack-key guitar,album,6HmkBnCkduOzfs4sYVs7Wd,resilience,2020,211320,25,0.348,0.096,7,-19.779,1,0.0591,0.972,0.942,0.106,0.391,200.708,3.0
4a95GqfQBhSYFzF23JB2eC,infinita highway - ao vivo,0GNq4xh8uFCyihPurnunf7,engenheiros do hawaii,"brazilian rock,mpb,pop rock brasileiro,rock gaucho,rock nacional brasileiro",album,5PAME5xiXlJgEGB95zsbhI,acústico (live),2004,258587,63,0.633,0.881,4,-6.615,1,0.04,0.248,0.0,0.966,0.688,140.161,4.0
4bdayjBb26Ulj8sYSGlNBW,head in the sand,3CBHXhdUqx63xJe4C4vzNg,andrew gialanella,"",album,6YjjpX2dGPsFMrhZvVHTwq,avoidance,2022,139186,28,0.681,0.107,11,-12.851,1,0.12,0.922,0.0247,0.101,0.421,172.119,4.0
4c4k8RRFXn3QXNxMAH8F0B,tomorrow,6ItU22zFrbETj95nz03U8t,cassie jean and the fireflies,"",album,4oUYP36qSz2Ws8l8gXIKUO,heart over head,2022,207210,6,0.471,0.675,9,-11.693,1,0.0514,0.208,0.00109,0.109,0.613,171.948,4.0
4dDZyGxClFiOBUjcpxhXWg,hurt,6kACVPfCOnqzgfEF5ryl0x,johnny cash,"arkansas country,outlaw country",album,218N0eGIlNwU5vwW0FzUJu,unearthed,2003,216533,72,0.544,0.378,9,-8.607,0,0.0264,0.719,3.5E-4,0.105,0.149,91.078,4.0
4dO0NqNcwW7yWEHPyQmi7m,fade to black (remastered),2ye2Wgw4gimLv2eAKyk1NB,metallica,"hard rock,metal,old school thrash,rock,thrash metal",album,5nBU21L37aHEOEjoXV6g8O,ride the lightning (deluxe / remastered),1984,417227,62,0.256,0.924,7,-6.685,1,0.113,0.00369,0.234,0.114,0.28,113.574,4.0
4dS8Ii3WVx8TZiCCFI7Yvx,interstate,3CBHXhdUqx63xJe4C4vzNg,andrew gialanella,"",single,1O3C3XHKcdw7BulrkAR0o6,interstate,2021,132829,22,0.466,0.342,3,-5.721,1,0.0521,0.81,0.743,0.0897,0.297,97.538,5.0
4dXxn9zDLMOB0IgHFnCa4S,complicated - acoustic,3ib0ROvqntFv8PPQ2CIlso,kaiak,"acoustic chill,viral pop",single,3DkqmNbwlYa7cNthoh45FR,complicated (acoustic),2017,213957,38,0.759,0.32,0,-7.269,1,0.0641,0.421,0.0,0.107,0.407,75.014,4.0
4dhox7dGyHnNfnqpk9oIKK,cocaine blues,7DtrCdyysCDj5BlVKcassv,rev. gary davis,"acoustic blues,blues,country blues,gospel blues,piedmont blues,traditional blues,traditional folk",album,0JS2Vbmp36RbIDQ0KkFWxg,pure religion and bad company,1991,162333,23,0.445,0.292,1,-19.971,1,0.0371,0.741,0.853,0.0793,0.898,76.803,4.0
4fUU9WKxEgJXyrZJsUA2iP,can't you see,59QxeZBL6k9L4oJBGSyukd,the marshall tucker band,"album rock,blues rock,classic rock,country rock,folk rock,hard rock,mellow gold,rock,soft rock,southern rock",album,1w7JOjdpfTBz4rvhWQDWJz,the marshall tucker band,1973,365093,66,0.406,0.713,7,-5.49,1,0.0348,0.276,0.00354,0.112,0.577,164.444,4.0
4gHnSNHs8RyVukKoWdS99f,something in the way,6olE6TJLqED3rqDCT0FyPh,nirvana,"alternative rock,grunge,permanent wave,rock",album,2UJcKiJxNryhL050F5Z1Fk,nevermind (remastered),1991,232147,70,0.427,0.201,8,-13.044,1,0.0317,0.745,0.263,0.109,0.0668,105.218,4.0
4gYayVU0GTqHEIqbLXu3N7,sky,5Ae5MzG7JJlSFIa7yQeXmI,a sound for you,"",single,6fFjqvw0ZkLTOihz2voCU0,sky,2022,113781,34,0.686,0.0827,0,-16.34,1,0.0529,0.965,0.927,0.109,0.316,109.355,5.0
4gdhsYfXJoVQsWpbmh32Da,here comes the sun - live; 2004 remaster,7FIoB5PHdrMZVC3q2HE5MS,george harrison,"album rock,beatlesque,classic rock,folk rock,mellow gold,rock,soft rock",album,4S2ZR5njbJez1rV8DV5Vtl,live in japan,1992,211320,43,0.611,0.566,9,-11.715,1,0.0295,0.425,9.54E-4,0.878,0.639,125.24,4.0
4hbBIpKObFaVzVQAaVZxoF,you see,6hqhZGNThHWF0vmysPbPAo,a.j. meadow,"",single,2piH7YzeXvwLOuAZprMUbX,you see,2022,145109,29,0.844,0.0589,11,-11.344,1,0.223,0.929,0.928,0.103,0.387,137.987,4.0
